STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,REF_AREA,Reference area,EDUCATION_LEV,Education level,EXP_SOURCE,Financing source,EXP_DESTINATION,Destination of expenditure,EXPENDITURE_TYPE,Type of expenditure,PRICE_BASE,Price base,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SWE,Sweden,ISCED11_5T8,Tertiary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2005,,15549.59,,A,Normal value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SWE,Sweden,ISCED11_5T8,Tertiary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2008,,20305.3,,A,Normal value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SWE,Sweden,ISCED11_5T8,Tertiary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2009,,20755.08,,A,Normal value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SWE,Sweden,ISCED11_5T8,Tertiary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2010,,20634.92,,A,Normal value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SWE,Sweden,ISCED11_5T8,Tertiary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2011,,21083.55,,A,Normal value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SWE,Sweden,ISCED11_5T8,Tertiary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2012,,23141.57,,A,Normal value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SWE,Sweden,ISCED11_5T8,Tertiary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2013,,23817.13,,A,Normal value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SWE,Sweden,ISCED11_5T8,Tertiary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2014,,24508.78,,A,Normal value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SWE,Sweden,ISCED11_5T8,Tertiary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2015,,24679.15,,A,Normal value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SWE,Sweden,ISCED11_5T8,Tertiary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2016,,24841.31,,A,Normal value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SWE,Sweden,ISCED11_5T8,Tertiary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2017,,25200.3,,A,Normal value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SWE,Sweden,ISCED11_5T8,Tertiary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2018,,26131.83,,A,Normal value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SWE,Sweden,ISCED11_5T8,Tertiary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2019,,26907.29,,A,Normal value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SWE,Sweden,ISCED11_5T8,Tertiary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2020,,26214.66,,A,Normal value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SVN,Slovenia,ISCED11_2,Lower secondary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2005,,,,O,Missing value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SVN,Slovenia,ISCED11_2,Lower secondary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2008,,,,O,Missing value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SVN,Slovenia,ISCED11_2,Lower secondary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2009,,,,O,Missing value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SVN,Slovenia,ISCED11_2,Lower secondary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2010,,,,O,Missing value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SVN,Slovenia,ISCED11_2,Lower secondary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2011,,,,O,Missing value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SVN,Slovenia,ISCED11_2,Lower secondary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2012,,10161.05,,A,Normal value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SVN,Slovenia,ISCED11_2,Lower secondary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2013,,10133.38,,A,Normal value,0,Units,0,Zero,,
DATAFLOW,OECD.EDU.IMEP:DSD_EAG_UOE_FIN@DF_UOE_INDIC_FIN_PERSTUD(1.0),Expenditure on educational institutions per full-time equivalent student,I,FIN_PERSTUD,Expenditure per full-time equivalent student,SVN,Slovenia,ISCED11_2,Lower secondary education,_T,Total,INST_EDU,All educational institutions,DIR_EXP,Expenditure for educational institutions,V,Current prices,USD_PPP_ST,"US dollars per student, PPP converted",2014,,10353.57,,A,Normal value,0,Units,0,Zero,,
